Country,Admin1_name,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Democratic Republic of Congo,Haut-Uele,Aba,COD,CD5306,CD53,January,1997,0,0
Democratic Republic of Congo,Haut-Uele,Aba,COD,CD5306,CD53,February,1997,0,0
Democratic Republic of Congo,Haut-Uele,Aba,COD,CD5306,CD53,March,1997,0,0
Democratic Republic of Congo,Haut-Uele,Aba,COD,CD5306,CD53,April,1997,0,0
Democratic Republic of Congo,Haut-Uele,Aba,COD,CD5306,CD53,May,1997,0,0
Democratic Republic of Congo,Haut-Uele,Aba,COD,CD5306,CD53,June,1997,0,0
